specimen_ID	cre	excitation	R_input	R_ASC	C	El	th_inf	total charge 1/300+1/100	total charge 1/3+1/10+1/100	spike_cut_length	reset_slope	reset_intercept	LIF_opt_th_inf	LIFASC_opt_th_inf	peak_v_long_square	fast_trough_v_long_square	upstroke_downstroke_ratio_long_square	upstroke_downstroke_ratio_short_square
489719193	Pvalb-IRES-Cre	inhibitory	60565288.751655	65158254.758616	7.57E-011	-0.0752678426	0.027091373	3.19E-014	-7.49E-013	32	-0.061220911	0.0195081348	0.0268396286	0.0246063156	24.5937519073	-66.2500076294	1.1390399512	1.1643222119
518271679	Scnn1a-Tg2-Cre	excitatory	215318171.771774	277275457.189374	1.59E-010	-0.0775896886	0.0301169203	-1.75E-012	-4.60E-012	121	0.5739754343	0.0078376165	0.0306254399	0.0300456997	35.4375038147	-47.0937538147	3.411549724	3.405759272
481004298	Htr3a-Cre_NO152	inhibitory	126057388.05984	123044260.261525	5.24E-011	-0.0752704506	0.0300581651	-1.95E-012	-4.61E-012	53	0.5704224897	0.0099385252	0.0546021358	0.0315497156	15.5000009537	-49.5937538147	3.1305227377	2.449802692
569469018	Chrna2-Cre_OE25	inhibitory	337902551.804337	355482544.279593	8.94E-011	-0.0723611107	0.0292447721	-4.88E-013	-2.50E-012	105	0.5000480175	0.0077001816	0.0301778983	0.0300420081	43.6875038147	-46.8125	3.4306170271	3.3828298725
314900022	Scnn1a-Tg3-Cre	excitatory	381914037.830712	369401956.40703	6.82E-011	-0.0721383362	0.0256023285	-1.24E-012	-2.68E-012	58	0.7531040603	0.0008449899	0.0372867642	0.0321164549	26.84375	-50.7500038147	2.6286820771	2.862891735
476178907	Scnn1a-Tg3-Cre	excitatory	153754854.958469	142486624.857175	9.16E-011	-0.0701463318	0.025659471	-1.90E-012	-1.63E-012	77	0.4097789092	0.0075259159	0.0262139638	0.0232344433	45.875	-48.90625	3.7217534746	3.9517965681
485058595	Sst-IRES-Cre	inhibitory	382422023.638457	397794211.827573	6.28E-011	-0.0675719681	0.0231763942	2.00E-013	0	43	0.5944109601	-0.0049821658	0.027602885	0.02788746	17.5625019073	-57.6250038147	1.7695399557	1.7099853085
501730497	Sst-IRES-Cre	inhibitory	285163708.604072	311347962.431725	8.90E-011	-0.0669236469	0.0219735974	1.58E-012	-1.26E-012	62	0.285040804	0.003824882	0.0221685197	0.0227708374	29.8125019073	-59.65625	2.1535239513	2.3265251738
564346637	Ndnf-IRES2-dgCre	inhibitory	381523667.92211	303988488.544671	9.13E-011	-0.0626433258	0.0184988961	0	-2.03E-012	48	0.2782807721	-0.0039084184	0.0310084935	0.0228892785	26.7812519073	-60.8750038147	1.4801811082	1.6137147859
555060623	Chrna2-Cre_OE25	inhibitory	349062839.81344	326976572.253001	7.03E-011	-0.0616220837	0.0215207915	0	-3.95E-012	106	0.8473602341	-0.0062636292	0.0297185052	0.02491037	25.25	-45.0312538147	2.6689114269	2.703663968
501280518	Sst-IRES-Cre	inhibitory	183959213.145618	191543784.463898	6.20E-011	-0.0702693977	0.0193541101	-2.58E-013	0	46	0.514325359	0.0004102786	0.026021402	0.0258124921	18.1875	-60.5625038147	1.9411185053	1.8892988359
479150681	Rbp4-Cre_KL100	excitatory	318228640.148016	366140378.546426	8.36E-011	-0.0765337957	0.0306566025	-4.95E-013	0	67	0.6389836426	0.0095802044	0.0281294874	0.0303582872	27.5312519073	-47.5000038147	2.4694016135	3.0380372892
386049446	Nr5a1-Cre	excitatory	243934604.252573	264030946.228373	9.24E-011	-0.0854419734	0.0376934076	0	-5.14E-012	49	0.4556066999	0.0154654211	0.0406579925	0.0333816551	33.15625	-53.03125	3.5244247946	3.549037004
